Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
 3rd week February,516,665,637.5,305,550,144,616.67,346.25,457.5,123.33,210,283.33,740,683.33,286.67,300,583.33,425,509,426,837.5,525,227,330,400,106.25,660,500,300
 3rd week September,1270,,1235,780,1105,335.33333333333337,,573.3333333333334,,266.6666666666667,,,,950,500,,960,418,,,,665,,,,,,1050,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,අංජිලා (කපන),,කෙලවල්ලා,තලපත්,කොප්පරා,පරව් (ලොකු),,පරා කූරි,,ලේන පරව්,ගල් මාළු (S),,,ලෝමැස්සා,මෝරා,,යක් සාලයා,මට්ට සාලයා,,කුම්බලා,,කටුවල්ලා,,,,හැඩැල්ලා,,ලින්නා,
 ,2360.0,,1105.0,1235.0,950.0,1270.0,,933.3333333333334,,495.0,,,,680.0,920.0,,190.0,335.33333333333337,,602.6666666666667,,,,,,1197.5,,402.66666666666663,
 3rd week April,576.67,­,675,370,633.33,176.67,­,380,533.33,120,200,230,855,817.5,410,350,665,460,700,400,676.67,575,335,300,500,­,766.67,525,376.67
 3rd week August,633.33,350,724.29,416,658.33,251.43,587.5,390,531.43,150,­,320,914.29,888,395,445,650,380,724.17,564.29,654.29,680,371.67,471.43,383.33,158,907.14,590,326.67
  3rd Week January,568,450,621,273.75,652,126,545,270,472,155,350,­,816,814,245,265,655,438,537.5,431,837.5,600,234,312.5,473.33,103.75,600,509,400
 3rd Week January ,625,450,663.33,438,610,195,600,446.67,566,215,400,308.33,921.43,845,390,405,675,480,545,510,1000,650,332.5,414.17,598,149,767.86,475,450
 3rd week July,650,575,716,354,646,218,626.67,387,370,­,­,­,900,884,356.67,428,700,350,750,529,750,750,296,362.5,595,140,870,556,322.5
  3rd week June,640,­,768.75,464.16,680,282,625,450,600,­,­,­,915,881.25,416.66,516.66,676.66,470,714,576,810,650,361,434,690,175,900,615,360
 3rd week March,480,400,625,248.33,501.67,133.33,600,259.17,421.67,233.33,207,252.5,788.33,720,227.5,306,540,361,550,385,850,444,217.5,320,380,86.25,660,560,361.67
